type;ator;qtd
Movie;Johnny Knoxville;7
Movie;Odunlade Adekola;7
Movie;Rosamund Pike;7
Movie;Evan Smith;7
Movie;Eric Peterson;7
Movie;Emory Cohen;7
Movie;Bradley Cooper;7
Movie;Kumiko Watanabe;7
Movie;Michiel Huisman;7
Movie;Mahie Gill;7
Movie;Lacey Chabert;7
Movie;Bella Thorne;7
Movie;Aubrey Plaza;7
Movie;Russell Peters;7
Movie;Joju George;7
Movie;Eva Mendes;7
Movie;Helen;7
Movie;Erica Lindbeck;7
Movie;John Lloyd Cruz;7
Movie;Bipasha Basu;7
Movie;Michael Keaton;7
Movie;Mark Strong;7
Movie;Audu Paden;7
Movie;Teresa Palmer;7
Movie;Jamie Watson;7
Movie;Purab Kohli;7
Movie;Benjamin Bratt;7
Movie;Chris Attoh;7
Movie;Shammi Kapoor;7
Movie;Kat Graham;7
Movie;Simon Pegg;7
Movie;Haley Bennett;7
Movie;Scoot McNairy;7
Movie;Vincent D'Onofrio;7
Movie;Vince Vaughn;7
Movie;Vinay Pathak;7
Movie;Ricardo Quevedo;7
Movie;Anna Faris;7
Movie;Natalie Portman;7
Movie;Gigi Saul Guerrero;7
Movie;Chiwetel Ejiofor;7
Movie;Colin Quinn;7
Movie;Vikrant Massey;7
Movie;Andrew Bachelor;7
Movie;Lin Shaye;7
Movie;Gugu Mbatha-Raw;7
Movie;Neil Nitin Mukesh;7
Movie;Sharon Ooja;7
Movie;Kevin Bacon;7
Movie;Karra Elejalde;7
Movie;Sharon Stone;7
Movie;Mohan Joshi;7
Movie;James Caan;7
Movie;Channing Tatum;7
Movie;Allison Janney;7
Movie;Ranbir Kapoor;7
Movie;Cory Doran;7
Movie;Darshan Jariwala;7
Movie;Charlie Sheen;7
Movie;Sharman Joshi;7
Movie;Harby Sangha;7
Movie;Diedrich Bader;7
Movie;Neena Gupta;7
Movie;Jay Baruchel;7
Movie;Cem Yılmaz;7
Movie;Vera Farmiga;7
Movie;Deepti Naval;7
Movie;Kathleen Barr;7
Movie;Jacqueline Fernandez;7
Movie;Kazuhiko Inoue;7
Movie;Jennifer Jason Leigh;7
Movie;Andy Serkis;7
Movie;Christopher Meloni;7
Movie;Katt Williams;7
Movie;Sonu Sood;7
Movie;Andy Richter;7
Movie;Christopher Walken;7
Movie;Walton Goggins;7
Movie;Jada Pinkett Smith;7
Movie;Sonali Bendre;7
Movie;David Thewlis;7
Movie;Snoop Dogg;7
Movie;Smita Tambe;7
Movie;Matthias Schoenaerts;7
Movie;Matt Walsh;7
Movie;Jenny Slate;7
Movie;Manish Chaudhary;7
Movie;Chris Evans;7
Movie;David Harbour;7
Movie;Ireti Doyle;7
Movie;Clive Owen;7
Movie;Chris O'Dowd;7
Movie;Demián Bichir;7
Movie;Chris Pine;7
Movie;Jeffrey Wright;7
Movie;Kehinde Bankole;7
Movie;Vijay Sethupathi;7
Movie;Christian Bale;7
Movie;Cliff Curtis;7
Movie;Sudhi Koppa;7
Movie;Mary Steenburgen;7
Movie;Vinnie Jones;7
Movie;Melissa Leo;7
Movie;Sambasa Nzeribe;7
Movie;Tracy Morgan;7
Movie;Büşra Pekin;7
Movie;Alia Bhatt;7
Movie;Jim Sturgess;7
Movie;Youssef Eid;7
Movie;Jason Sudeikis;7
Movie;Burt Young;7
Movie;Shernaz Patel;7
Movie;Ahmed Rateb;7
Movie;Kappei Yamaguchi;7
Movie;Rashida Jones;7
Movie;Ahmed Fathy;7
Movie;Nicolas Aqui;7
Movie;Robert Downey Jr.;7
Movie;Mark Duplass;7
Movie;Rob Rackstraw;7
Movie;Daniel Craig;7
Movie;Ata Demirer;7
Movie;Elise Neal;7
Movie;Amy Poehler;7
Movie;Brie Larson;7
Movie;Mike Smith;7
Movie;Olga Kurylenko;7
Movie;Brittany Snow;7
Movie;Jonathan Pryce;7
Movie;Takahiro Sakurai;7
Movie;Oliver Platt;7
Movie;Damandeep Singh Baggan;7
Movie;Ashley Judd;7
Movie;Kanwaljeet Singh;7
Movie;Sam Vincent;7
Movie;Jack Whitehall;7
Movie;Rajat Kapoor;7
Movie;Gabriel Iglesias;7
Movie;Doug Jones;7
Movie;Kevin Spacey;7
Movie;Alison Brie;7
Movie;Kevin Pollak;7
Movie;Cassandra Morris;7
Movie;Alison Pill;7
Movie;Josh Lucas;7
Movie;Donald Sutherland;7
Movie;Ethan Hawke;7
Movie;Catherine O'Hara;7
Movie;Nicholas Hoult;7
Movie;Paoli Dam;7
Movie;James Fox;7
Movie;Cathy Weseluck;7
Movie;Louis C.K.;7
Movie;Iko Uwais;7
Movie;Marcia Gay Harden;7
Movie;Jennifer Aniston;7
Movie;Aaron Eckhart;7
Movie;Funke Akindele;7
Movie;Ratna Pathak Shah;7
Movie;Kari Wahlgren;7
Movie;Leslie Bibb;7
Movie;Shea Whigham;7
Movie;Jeff Bennett;7
Movie;Sanjay Kapoor;7
Movie;Masood Akhtar;6
Movie;Tim Roth;6
Movie;Amy Sedaris;6
Movie;Jeff Daniels;6
Movie;Michael Ironside;6
Movie;Vinod Khanna;6
Movie;Joey King;6
Movie;Belén Cuesta;6
Movie;Matet De Leon;6
Movie;Jaya Bhaduri;6
Movie;Vijay Maurya;6
Movie;Parambrata Chatterjee;6
Movie;Jean-Claude Van Damme;6
Movie;Ethan Suplee;6
Movie;Michael McElhatton;6
Movie;Jeffrey Tambor;6
Movie;Gulshan Devaiah;6
Movie;Maaya Sakamoto;6
Movie;Rasika Dugal;6
Movie;Wale Ojo;6
Movie;Randall Park;6
Movie;Ray Winstone;6
Movie;Raima Sen;6
Movie;Wally Wingert;6
Movie;Whoopi Goldberg;6
Movie;Leslie Mann;6
Movie;Rajendra Gupta;6
Movie;Will Arnett;6
Movie;Tom Sizemore;6
Movie;Felicity Jones;6
Movie;Rajesh Kawa;6
Movie;Harold Perrineau;6
Movie;Tom Wilkinson;6
Movie;Rikiya Koyama;6
Movie;Wesley Snipes;6
Movie;Omari Hardwick;6
Movie;Tom Berenger;6
Movie;Allen Covert;6
Movie;Meagan Good;6
Movie;Alicia Vikander;6
Movie;Mel Brooks;6
Movie;Lochlyn Munro;6
Movie;Jim Sarbh;6
Movie;Rahul Singh;6
Movie;Fionnula Flanagan;6
Movie;Robert Redford;6
Movie;William Fichtner;6
Movie;Ali Larter;6
Movie;Frank Donga;6
Movie;Jim Parsons;6
Movie;Jim Carrey;6
Movie;Ogie Banks;6
Movie;Robbie Amell;6
Movie;Melissa Bolona;6
Movie;Jim Jefferies;6
Movie;Jim Iyke;6
Movie;Rob Corddry;6
Movie;Ron Livingston;6
Movie;Martin Sheen;6
Movie;Genevieve Nnaji;6
Movie;Jason Bateman;6
Movie;Jay Duplass;6
Movie;Parvin Dabas;6
Movie;Michael Gambon;6
Movie;Angelina Jolie;6
Movie;Angelica Panganiban;6
Movie;Vice Ganda;6
Movie;Jennifer Lopez;6
Movie;Jesse Plemons;6
Movie;Tituss Burgess;6
Movie;Angela Bassett;6
Movie;Reese Witherspoon;6
Movie;Alexa PenaVega;6
Movie;Wanda Sykes;6
Movie;Angad Bedi;6
Movie;Joel McHale;6
Movie;Gippy Grewal;6
Movie;Hassan Abdulfattah;6
Movie;Giovanni Ribisi;6
Movie;Anita Devgan;6
Movie;Anjan Srivastav;6
Movie;Michael Ealy;6
Movie;Anna Claire Bartlam;6
Movie;Laura Dern;6
Movie;Joel Courtney;6
Movie;Riccardo Scamarcio;6
Movie;Javier Gutiérrez;6
Movie;Ronit Roy;6
Movie;Jerry Seinfeld;6
Movie;Anne Hathaway;6
Movie;Richard Gere;6
Movie;Lily Collins;6
Movie;John Turturro;6
Movie;Amrita Singh;6
Movie;Emma Stone;6
Movie;Sarah Gadon;6
Movie;Sushmita Mukherjee;6
Movie;Scarlett Johansson;6
Movie;Cassandra Ciangherotti;6
Movie;Colin Firth;6
Movie;Natasha Lyonne;6
Movie;Marc Maron;6
Movie;Tarık Ünlüoğlu;6
Movie;Chicco Jerikho;6
Movie;Taapsee Pannu;6
Movie;Kemi Lala Akindoju;6
Movie;Carrie-Anne Moss;6
Movie;Indrans;6
Movie;Kirsten Dunst;6
Movie;Kristin Davis;6
Movie;Alain Hernández;6
Movie;Kristin Chenoweth;6
Movie;Nina Kulkarni;6
Movie;Parker Posey;6
Movie;Mark Webber;6
Movie;Colm Feore;6
Movie;Emily Watson;6
Movie;Ian McKellen;6
Movie;Suhasini Mulay;6
Movie;Yayan Ruhian;6
Movie;Bobby Moynihan;6
Movie;Simon Yam;6
Movie;John Rhys-Davies;6
Movie;Mohamed Lotfy;6
Movie;Catherine Keener;6
Movie;Julia Stiles;6
Movie;Malcolm McDowell;6
Movie;Donald Faison;6
Movie;David Attenborough;6
Movie;Shannon Chan-Kent;6
Movie;Benjamin Flores Jr.;6
Movie;David Carradine;6
Movie;Michelle Rodriguez;6
Movie;Joseph May;6
Movie;Carlo Aquino;6
Movie;Embeth Davidtz;6
Movie;DeRay Davis;6
Movie;Yograj Singh;6
Movie;Nick Nolte;6
Movie;Sandra Oh;6
Movie;Elizabeth Reaser;6
Movie;Selma Blair;6
Movie;Jon Heder;6
Movie;Christine Baranski;6
Movie;Dulquer Salmaan;6
Movie;Devrim Yakut;6
Movie;Mike Myers;6
Movie;Broda Shaggi;6
Movie;Hugh Bonneville;6
Movie;Julie Lemieux;6
Movie;Christopher Mintz-Plasse;6
Movie;Hugh Jackman;6
Movie;Ian McShane;6
Movie;Christina Ricci;6
Movie;Nick Kroll;6
Movie;Sanjay Suri;6
Movie;Khaled El Sawy;6
Movie;Soha Ali Khan;6
Movie;Al Tantay;6
Movie;Sohail Khan;6
Movie;Jamie Bell;6
Movie;Kelsey Grammer;6
Movie;Akshay Oberoi;6
Movie;Abigail Breslin;6
Movie;Somkele Iyamah;6
Movie;Sonakshi Sinha;6
Movie;Isha Koppikar;6
Movie;Sunny Leone;6
Movie;Pevita Pearce;6
Movie;Paul Reiser;6
Movie;Tanuja;6
Movie;Tantoo Cardinal;6
Movie;Brian Cox;6
Movie;Emma Thompson;6
Movie;Jamie Foxx;6
Movie;Michelle Buteau;6
Movie;Zac Efron;6
Movie;Chandan Roy Sanyal;6
Movie;Kajol;6
Movie;Russell Brand;6
Movie;Mamoru Miyano;6
Movie;Shubha Khote;6
Movie;Djimon Hounsou;6
Movie;Mohan Agashe;6
Movie;Ed Helms;6
Movie;Samantha Ruth Prabhu;6
Movie;Pitobash;6
Movie;Ini Dima-Okojie;6
Movie;Narendra Jha;6
Movie;Margaret Cho;6
Movie;Sarah Silverman;6
Movie;Thandie Newton;6
Movie;Bryce Dallas Howard;6
Movie;John Corbett;6
Movie;Sean Penn;6
Movie;Thomas Haden Church;6
Movie;Dale Dickey;6
Movie;Shiv Pandit;6
Movie;Chris Cooper;6
Movie;Jack Nicholson;6
Movie;Charles Grodin;6
