type;diretor;qtd
Movie;Michael J. Bassett;2
Movie;Najwa Najjar;2
Movie;Michael Goguen;2
Movie;Mark Osborne;2
Movie;Mark Palansky;2
Movie;Richard Rich;2
Movie;Mark Steven Johnson;2
Movie;Mark Thornton;2
Movie;Richard LaGravenese;2
Movie;Richard Bailey;2
Movie;Vikram Bhatt;2
Movie;Martin Gorst;2
Movie;Mary Harron;2
Movie;Maryo J. De los Reyes;2
Movie;Masaru Matsumoto;2
Movie;V Vignarajan;2
Movie;Upi Avianto;2
Movie;Matt Kugelman;2
Movie;Umesh Shukla;2
Movie;Matthew Vaughn;2
Movie;Rian Johnson;2
Movie;Ulises Valencia;2
Movie;Meltem Bozoflu;2
Movie;Mez Tharatorn;2
Movie;Michael Cuesta;2
Movie;Michael D. Black;2
Movie;Michael Damian;2
Movie;Rhys Thomas;2
Movie;Michael Drumm;2
Movie;Michael Fimognari;2
Movie;Nagraj Manjule;2
Movie;Naoko Yamada;2
Movie;Satyajit Bhatkal;2
Movie;Osgood Perkins;2
Movie;Tom Shadyac;2
Movie;Paco Plaza;2
Movie;Padmakumar Narasimhamurthy;2
Movie;Pierre Morel;2
Movie;Parambrata Chatterjee;2
Movie;Park Hoon-jung;2
Movie;Parkpoom Wongpoom;2
Movie;Pascal Amanfo;2
Movie;Patricia Rozema;2
Movie;Patrick Brice;2
Movie;Patryk Vega;2
Movie;Paul Andrew Williams;2
Movie;Tom Donahue;2
Movie;Paul Haggis;2
Movie;Paul Solet;2
Movie;Paul Soriano;2
Movie;Tom McGrath;2
Movie;Paul Verhoeven;2
Movie;Tom Ford;2
Movie;Philipp Stölzl;2
Movie;Pete Travis;2
Movie;Peter Berg;2
Movie;Peter Chelsom;2
Movie;Phil Weinstein;2
Movie;Peter Hutchings;2
Movie;Peter Lepeniotis;2
Movie;Peter Orton;2
Movie;Oz Rodriguez;2
Movie;Tony Giglio;2
Movie;Navaniat Singh;2
Movie;Oluseyi Asurf;2
Movie;Nawapol Thamrongrattanarit;2
Movie;Timothy Woodward Jr.;2
Movie;Rajat Kapoor;2
Movie;Neil Jordan;2
Movie;Neill Blomkamp;2
Movie;Nelson McCormick;2
Movie;Nia Dinata;2
Movie;Nicholas Kharkongor;2
Movie;Nick Broomfield;2
Movie;Nick Castle;2
Movie;Nicolas Pesce;2
Movie;Nicolás López;2
Movie;Nikhil Advani;2
Movie;Nitesh Tiwari;2
Movie;Tosin Igho;2
Movie;Raditya Dika;2
Movie;Rachel Grady;2
Movie;RZA;2
